label,scenario,adult_instructions,child_instructions
burns,Burns,"Cool the burn with running water for 10 minutes. Cover with cling film or a clean, non-stick dressing. Do not apply creams, ice, or butter. Seek medical help if the burn is larger than 3 inches or on the face, hands, or feet.","Cool the burn with running water for 10 minutes. Cover with cling film or a clean, non-stick dressing. Do not apply creams, ice, or butter. Seek medical help immediately for any burn larger than the child’s palm or on sensitive areas."
choking,Choking,"Encourage coughing. If ineffective, give 5 back blows between shoulder blades. Perform 5 abdominal thrusts (Heimlich maneuver). Call emergency services if choking persists.","Encourage coughing. For infants (<1 year): 5 back blows and 5 chest thrusts. For children (>1 year): 5 back blows and 5 abdominal thrusts with caution. Call emergency services immediately."
bleeding,Bleeding,"Apply firm, direct pressure with a clean cloth or bandage. Elevate the wound if possible. Bandage firmly but not too tightly. Seek medical help if bleeding doesn’t stop after 10 minutes.","Apply firm, direct pressure with a clean cloth. Elevate the wound if possible. Bandage gently. Seek medical help immediately if bleeding is heavy or persists."
fracture,Fracture,"Immobilize the limb with a splint or padding (e.g., rolled towel). Avoid moving the injured area. Apply ice wrapped in cloth for 15 minutes. Call emergency help or visit a hospital.","Immobilize the limb gently with padding. Do not attempt to realign. Apply ice wrapped in cloth for 10 minutes. Seek emergency care immediately."
fainting,Fainting,"Lay the person flat on their back. Elevate legs 12 inches unless head injury suspected. Ensure fresh air and loosen tight clothing. Monitor breathing. Seek medical help if not recovering in 1–2 minutes.","Lay the child flat on a safe surface. Elevate legs gently if no head injury. Ensure fresh air. Monitor breathing closely. Seek medical help if recovery takes over 1 minute."
asthma,Asthma Attack,"Help use a rescue inhaler (e.g., albuterol) as prescribed. Sit upright, stay calm, and breathe slowly. Call emergency services if symptoms worsen or no improvement after 5 minutes.","Help use a rescue inhaler as prescribed. Sit the child upright and calm them. Call emergency services immediately if breathing difficulties persist or lips turn blue."
heart_attack,Heart Attack,"Call emergency services immediately. Keep person calm and seated or lying down. Give 325mg aspirin (chewable) if available and not allergic. Monitor breathing.","Call emergency services immediately. Keep child calm and in a comfortable position. Do not give aspirin. Monitor breathing and seek urgent care."
stroke,Stroke,"Call emergency help immediately. Note the time symptoms started. Keep person safe and calm. Do not give food or drink. Monitor for worsening symptoms.","Call emergency help immediately. Note symptom onset time. Keep child safe and calm. Do not give food or drink. Seek urgent care."
allergy,Allergic Reaction,"Use epinephrine (EpiPen) if prescribed for severe symptoms. Call emergency services. Lay person flat unless breathing is difficult. Monitor for swelling or breathing issues.","Use epinephrine (EpiPen) if prescribed. Call emergency services immediately. Lay child flat unless breathing is difficult. Monitor closely."
seizure,Seizures,"Clear surroundings of hazards. Cushion the head with soft material. Time the seizure. Do not restrain or put anything in mouth. Call emergency services if seizure lasts over 5 minutes.","Clear surroundings. Cushion the head gently. Time the seizure. Do not restrain. Call emergency services if seizure lasts over 3 minutes or is the first seizure."
nosebleed,Nosebleed,"Sit forward and pinch the soft part of the nose for 10 minutes. Avoid tilting head back. Apply a cold compress to the nose bridge. Seek medical help if bleeding persists over 20 minutes.","Sit forward and pinch the nose gently for 5–10 minutes. Apply a cold compress. Seek medical help if bleeding continues over 15 minutes or is frequent."
poisoning,Poisoning,"Call poison control immediately (e.g., 1-800-222-1222 in the US). Do not induce vomiting unless instructed. Identify the substance and amount ingested. Seek emergency care.","Call poison control immediately. Do not induce vomiting. Identify the substance and amount. Take child to emergency care immediately."
drowning,Drowning,"Remove from water safely. Check breathing and pulse. Begin CPR if needed (30 chest compressions, 2 breaths). Call emergency services. Continue until help arrives.","Remove from water safely. Check breathing. Begin CPR for children (30 compressions, 2 breaths, adjusted for size). Call emergency services immediately."
electric_shock,Electric Shock,"Turn off power source before touching victim. Check breathing and pulse. Begin CPR if needed. Call emergency services. Treat burns if present.","Turn off power source before touching child. Check breathing. Begin CPR if needed. Call emergency services immediately. Treat burns as needed."
hypothermia,Hypothermia,"Move to a warm, dry area. Remove wet clothing and wrap in blankets. Offer warm drinks if conscious. Call medical help if shivering stops or confusion occurs.","Move to a warm area. Remove wet clothing and wrap in blankets. Offer warm (not hot) fluids if conscious. Seek medical help immediately if unresponsive or confused."
